distance_km,weather,transport_mode,supplier_reliability,is_holiday,origin,destination,delayed
443.0,Clear,Sea,47.5,0,Munich Hub,Paris Nord,0
1298.0,Fog,Air,56.0,1,Munich Hub,Zurich Terminus,1
2529.0,Clear,Sea,88.9,1,Frankfurt Central,Warsaw Crossdock,1
353.5,Clear,Road,84.4,0,Munich Hub,Zurich Terminus,0
935.3,Clear,Rail,78.4,0,Milan Cargo,Vienna Logistics,1
2332.9,Clear,Sea,88.5,0,Hamburg Port,Prague Depot,1
1297.3,Clear,Rail,61.3,0,Antwerp Freight,Paris Nord,0
1254.7,Rain,Rail,86.9,0,Milan Cargo,Zurich Terminus,0
684.1,Clear,Road,90.2,0,Antwerp Freight,Paris Nord,0
164.3,Fog,Road,72.6,0,Antwerp Freight,Zurich Terminus,1
492.8,Clear,Road,82.9,0,Rotterdam Gate,Berlin DC,0
1318.4,Rain,Sea,70.6,0,Rotterdam Gate,Berlin DC,1
343.0,Snow,Road,79.2,0,Munich Hub,Zurich Terminus,1
1875.3,Storm,Air,74.6,0,Milan Cargo,Warsaw Crossdock,0
296.9,Fog,Rail,87.1,0,Hamburg Port,Prague Depot,0
712.3,Clear,Road,72.7,0,Munich Hub,Zurich Terminus,0
225.6,Fog,Road,94.4,0,Munich Hub,Zurich Terminus,0
1041.7,Clear,Rail,66.8,1,Frankfurt Central,Zurich Terminus,1
249.8,Clear,Rail,62.1,0,Antwerp Freight,Prague Depot,0
1136.6,Clear,Rail,74.7,0,Frankfurt Central,Berlin DC,0
1584.8,Fog,Rail,75.5,0,Antwerp Freight,Warsaw Crossdock,0
1148.0,Clear,Road,91.7,0,Hamburg Port,Paris Nord,0
1272.0,Snow,Rail,79.9,1,Munich Hub,Prague Depot,1
1235.2,Rain,Air,82.8,0,Frankfurt Central,Warsaw Crossdock,0
1252.5,Rain,Rail,81.9,0,Antwerp Freight,Warsaw Crossdock,1
674.1,Snow,Road,84.9,0,Antwerp Freight,Warsaw Crossdock,0
171.4,Storm,Road,67.9,0,Frankfurt Central,Vienna Logistics,1
1149.0,Clear,Rail,84.4,1,Hamburg Port,Paris Nord,0
916.7,Clear,Road,54.2,0,Hamburg Port,Zurich Terminus,0
101.0,Fog,Road,82.6,0,Munich Hub,Paris Nord,1
1531.2,Fog,Rail,78.9,0,Hamburg Port,Vienna Logistics,1
651.7,Clear,Road,49.3,0,Hamburg Port,Vienna Logistics,1
483.4,Storm,Rail,69.2,0,Milan Cargo,Vienna Logistics,0
1582.8,Rain,Rail,92.3,0,Milan Cargo,Warsaw Crossdock,0
1011.5,Rain,Road,36.6,0,Hamburg Port,Paris Nord,1
987.0,Fog,Road,77.8,1,Milan Cargo,Warsaw Crossdock,1
357.5,Rain,Road,71.4,0,Antwerp Freight,Berlin DC,1
786.6,Rain,Road,67.3,0,Rotterdam Gate,Zurich Terminus,0
1666.8,Clear,Rail,61.6,0,Frankfurt Central,Zurich Terminus,1
223.1,Rain,Road,91.7,0,Milan Cargo,Paris Nord,0
833.8,Clear,Sea,68.4,0,Hamburg Port,Paris Nord,0
1155.6,Fog,Rail,53.8,0,Antwerp Freight,Zurich Terminus,1
1403.8,Snow,Rail,87.7,0,Antwerp Freight,Vienna Logistics,0
905.0,Rain,Rail,79.5,0,Frankfurt Central,Zurich Terminus,0
1126.4,Rain,Road,90.5,0,Munich Hub,Warsaw Crossdock,0
1099.8,Fog,Road,83.9,0,Milan Cargo,Vienna Logistics,1
789.0,Rain,Air,59.0,0,Munich Hub,Warsaw Crossdock,1
247.5,Clear,Road,82.2,0,Munich Hub,Berlin DC,1
1120.1,Rain,Rail,75.9,0,Rotterdam Gate,Prague Depot,0
1458.3,Snow,Rail,78.0,0,Hamburg Port,Berlin DC,1
1410.7,Clear,Rail,70.0,0,Antwerp Freight,Warsaw Crossdock,0
632.5,Rain,Air,86.0,0,Antwerp Freight,Paris Nord,0
901.3,Clear,Air,86.3,0,Milan Cargo,Paris Nord,0
637.2,Snow,Road,93.4,0,Rotterdam Gate,Zurich Terminus,1
881.8,Clear,Rail,94.3,0,Antwerp Freight,Zurich Terminus,0
610.1,Snow,Sea,62.0,0,Hamburg Port,Warsaw Crossdock,0
1269.3,Clear,Air,66.5,0,Munich Hub,Vienna Logistics,0
432.1,Clear,Road,93.0,0,Munich Hub,Prague Depot,0
1310.4,Clear,Rail,78.6,0,Antwerp Freight,Paris Nord,0
687.2,Clear,Road,76.2,0,Hamburg Port,Warsaw Crossdock,1
484.2,Clear,Road,78.9,0,Frankfurt Central,Vienna Logistics,0
2198.5,Clear,Sea,78.5,0,Rotterdam Gate,Prague Depot,0
219.1,Fog,Road,71.6,0,Rotterdam Gate,Prague Depot,0
1081.3,Clear,Rail,60.4,0,Hamburg Port,Berlin DC,0
515.3,Clear,Sea,91.3,0,Antwerp Freight,Prague Depot,0
1227.1,Fog,Rail,52.0,0,Munich Hub,Paris Nord,1
1044.9,Clear,Road,75.8,0,Rotterdam Gate,Vienna Logistics,0
583.5,Clear,Road,66.7,0,Munich Hub,Zurich Terminus,0
998.0,Rain,Rail,75.2,0,Frankfurt Central,Vienna Logistics,0
1555.5,Rain,Rail,61.3,0,Antwerp Freight,Warsaw Crossdock,1
1423.0,Clear,Rail,59.6,0,Milan Cargo,Zurich Terminus,0
918.0,Snow,Air,92.8,0,Hamburg Port,Prague Depot,0
460.0,Clear,Rail,50.2,0,Milan Cargo,Vienna Logistics,0
546.5,Clear,Road,46.1,0,Munich Hub,Zurich Terminus,0
618.1,Clear,Road,60.8,0,Milan Cargo,Prague Depot,1
431.3,Clear,Road,67.5,0,Milan Cargo,Warsaw Crossdock,1
821.7,Clear,Road,86.3,0,Frankfurt Central,Prague Depot,0
1176.1,Rain,Rail,62.6,0,Antwerp Freight,Warsaw Crossdock,1
1125.7,Clear,Road,91.6,0,Antwerp Freight,Paris Nord,0
879.8,Clear,Road,80.0,0,Hamburg Port,Vienna Logistics,0
587.9,Rain,Rail,72.0,0,Frankfurt Central,Berlin DC,0
696.4,Storm,Road,86.0,0,Munich Hub,Warsaw Crossdock,0
1357.0,Rain,Rail,92.8,0,Munich Hub,Warsaw Crossdock,0
1595.7,Clear,Rail,77.0,0,Rotterdam Gate,Paris Nord,0
644.7,Fog,Road,75.2,0,Milan Cargo,Paris Nord,0
835.3,Clear,Road,58.6,0,Munich Hub,Warsaw Crossdock,1
372.1,Clear,Road,59.5,1,Frankfurt Central,Paris Nord,1
1632.2,Clear,Rail,90.7,0,Hamburg Port,Vienna Logistics,0
865.4,Storm,Rail,73.3,0,Frankfurt Central,Paris Nord,1
778.9,Rain,Rail,89.6,0,Milan Cargo,Berlin DC,0
1435.5,Rain,Air,60.2,0,Antwerp Freight,Prague Depot,0
83.4,Clear,Road,69.6,0,Hamburg Port,Warsaw Crossdock,0
231.7,Clear,Road,91.8,0,Rotterdam Gate,Berlin DC,0
1046.1,Clear,Rail,84.9,0,Hamburg Port,Berlin DC,0
2430.1,Clear,Sea,65.0,0,Hamburg Port,Vienna Logistics,1
749.5,Clear,Road,67.8,0,Frankfurt Central,Berlin DC,1
2013.1,Clear,Sea,53.4,0,Milan Cargo,Zurich Terminus,1
1376.3,Rain,Rail,62.0,0,Hamburg Port,Berlin DC,0
285.9,Clear,Road,84.4,1,Antwerp Freight,Paris Nord,0
673.6,Clear,Road,77.9,0,Munich Hub,Prague Depot,0
263.3,Clear,Rail,53.7,0,Munich Hub,Zurich Terminus,1
1129.6,Snow,Road,80.1,0,Hamburg Port,Zurich Terminus,1
995.6,Clear,Rail,61.7,0,Hamburg Port,Zurich Terminus,0
243.4,Rain,Road,64.1,0,Rotterdam Gate,Berlin DC,0
611.7,Rain,Rail,76.2,0,Rotterdam Gate,Prague Depot,0
1106.9,Storm,Road,55.5,0,Frankfurt Central,Vienna Logistics,1
646.4,Storm,Road,63.2,0,Frankfurt Central,Berlin DC,1
672.9,Rain,Road,94.2,0,Munich Hub,Prague Depot,1
669.6,Clear,Road,83.9,0,Munich Hub,Prague Depot,0
669.3,Clear,Air,58.2,0,Antwerp Freight,Vienna Logistics,0
700.3,Rain,Air,84.8,0,Antwerp Freight,Zurich Terminus,0
688.2,Rain,Road,86.8,0,Munich Hub,Berlin DC,0
1921.8,Rain,Air,63.5,0,Milan Cargo,Vienna Logistics,1
1019.3,Clear,Road,79.2,0,Antwerp Freight,Zurich Terminus,0
772.8,Rain,Road,93.2,0,Antwerp Freight,Prague Depot,0
85.8,Clear,Road,78.6,0,Antwerp Freight,Paris Nord,0
749.8,Clear,Road,78.1,1,Munich Hub,Berlin DC,0
471.2,Rain,Rail,83.7,0,Frankfurt Central,Prague Depot,0
512.9,Rain,Rail,54.9,0,Frankfurt Central,Warsaw Crossdock,1
1141.0,Clear,Road,74.9,0,Antwerp Freight,Prague Depot,0
1147.6,Clear,Rail,72.7,0,Rotterdam Gate,Zurich Terminus,0
1029.5,Fog,Road,91.0,0,Rotterdam Gate,Zurich Terminus,0
647.4,Rain,Road,83.5,0,Rotterdam Gate,Prague Depot,0
941.2,Rain,Road,71.3,0,Milan Cargo,Prague Depot,0
652.0,Clear,Road,71.1,0,Rotterdam Gate,Berlin DC,0
107.5,Rain,Road,69.6,0,Milan Cargo,Warsaw Crossdock,0
987.4,Clear,Road,54.0,0,Antwerp Freight,Paris Nord,0
707.0,Clear,Road,65.3,1,Frankfurt Central,Prague Depot,0
922.6,Storm,Road,76.1,0,Rotterdam Gate,Berlin DC,1
515.3,Snow,Road,77.1,0,Rotterdam Gate,Prague Depot,0
347.2,Rain,Road,79.8,0,Milan Cargo,Berlin DC,0
1670.7,Rain,Rail,78.9,0,Rotterdam Gate,Vienna Logistics,1
992.0,Snow,Rail,60.3,1,Frankfurt Central,Paris Nord,1
403.3,Clear,Road,68.4,0,Frankfurt Central,Zurich Terminus,0
885.3,Fog,Road,89.7,0,Hamburg Port,Prague Depot,0
682.7,Clear,Air,71.5,0,Munich Hub,Paris Nord,0
1051.6,Fog,Rail,72.9,0,Frankfurt Central,Vienna Logistics,0
2429.4,Snow,Air,74.0,0,Munich Hub,Vienna Logistics,1
586.2,Clear,Road,91.1,0,Milan Cargo,Warsaw Crossdock,0
82.8,Snow,Road,70.5,0,Hamburg Port,Paris Nord,1
441.6,Fog,Road,84.8,0,Frankfurt Central,Paris Nord,0
1465.1,Clear,Air,52.3,0,Munich Hub,Berlin DC,1
1092.3,Clear,Road,72.9,0,Antwerp Freight,Zurich Terminus,0
228.6,Clear,Road,95.4,0,Antwerp Freight,Berlin DC,0
363.9,Clear,Rail,85.0,0,Munich Hub,Vienna Logistics,0
1176.5,Clear,Rail,77.4,0,Antwerp Freight,Vienna Logistics,0
814.5,Storm,Rail,84.8,0,Munich Hub,Vienna Logistics,0
682.6,Fog,Rail,62.4,1,Antwerp Freight,Berlin DC,1
1045.3,Rain,Rail,76.3,0,Munich Hub,Vienna Logistics,0
373.6,Clear,Road,75.6,0,Rotterdam Gate,Berlin DC,0
652.7,Clear,Road,64.1,0,Milan Cargo,Vienna Logistics,0
1367.9,Clear,Rail,61.5,0,Antwerp Freight,Warsaw Crossdock,1
1147.4,Storm,Road,64.1,1,Antwerp Freight,Vienna Logistics,1
561.6,Fog,Air,94.1,0,Hamburg Port,Warsaw Crossdock,1
946.1,Clear,Road,93.3,1,Rotterdam Gate,Prague Depot,0
1110.7,Clear,Road,90.6,0,Munich Hub,Vienna Logistics,0
497.5,Clear,Road,85.7,0,Antwerp Freight,Zurich Terminus,0
1152.5,Fog,Air,65.6,0,Munich Hub,Paris Nord,1
1473.6,Storm,Rail,91.7,0,Rotterdam Gate,Vienna Logistics,0
1558.4,Clear,Rail,77.6,0,Munich Hub,Zurich Terminus,0
1591.5,Snow,Air,91.6,0,Munich Hub,Berlin DC,1
1063.0,Clear,Sea,51.1,0,Milan Cargo,Berlin DC,1
448.7,Storm,Rail,68.3,0,Frankfurt Central,Vienna Logistics,1
256.5,Clear,Road,91.7,0,Hamburg Port,Paris Nord,0
1667.5,Snow,Air,89.8,1,Frankfurt Central,Berlin DC,1
848.6,Clear,Road,91.5,0,Frankfurt Central,Vienna Logistics,0
268.1,Clear,Road,79.0,0,Hamburg Port,Berlin DC,0
246.5,Clear,Road,70.2,0,Frankfurt Central,Vienna Logistics,0
1023.2,Rain,Air,37.5,0,Rotterdam Gate,Vienna Logistics,1
109.2,Clear,Road,60.3,0,Milan Cargo,Prague Depot,0
1466.0,Clear,Rail,49.5,0,Frankfurt Central,Warsaw Crossdock,1
479.0,Rain,Sea,75.7,0,Hamburg Port,Warsaw Crossdock,1
340.5,Rain,Road,98.7,0,Hamburg Port,Vienna Logistics,0
1179.5,Fog,Air,29.4,0,Antwerp Freight,Vienna Logistics,1
256.4,Clear,Road,93.2,0,Munich Hub,Zurich Terminus,0
1294.6,Rain,Air,70.7,0,Hamburg Port,Vienna Logistics,1
1698.7,Clear,Rail,75.2,0,Hamburg Port,Prague Depot,0
737.2,Rain,Rail,64.6,1,Munich Hub,Warsaw Crossdock,1
500.4,Fog,Road,78.7,0,Rotterdam Gate,Paris Nord,0
197.3,Clear,Road,84.2,0,Munich Hub,Zurich Terminus,0
862.0,Clear,Sea,75.9,0,Rotterdam Gate,Warsaw Crossdock,0
135.6,Clear,Road,87.7,0,Hamburg Port,Warsaw Crossdock,0
406.8,Clear,Road,68.2,0,Frankfurt Central,Berlin DC,0
1071.8,Rain,Road,80.2,0,Munich Hub,Warsaw Crossdock,0
686.4,Clear,Road,58.3,0,Antwerp Freight,Berlin DC,0
168.4,Fog,Road,83.8,0,Rotterdam Gate,Prague Depot,1
317.3,Snow,Road,86.6,0,Rotterdam Gate,Vienna Logistics,0
2959.7,Clear,Sea,62.4,0,Frankfurt Central,Prague Depot,0
544.2,Rain,Road,49.3,0,Milan Cargo,Prague Depot,0
2343.6,Fog,Air,64.6,0,Munich Hub,Zurich Terminus,1
1950.1,Clear,Air,67.0,0,Rotterdam Gate,Berlin DC,0
1938.2,Fog,Air,54.5,0,Hamburg Port,Zurich Terminus,1
798.3,Rain,Rail,82.9,0,Rotterdam Gate,Warsaw Crossdock,0
1012.9,Clear,Road,82.8,0,Milan Cargo,Prague Depot,0
627.4,Rain,Road,73.5,0,Antwerp Freight,Berlin DC,0
110.7,Fog,Road,69.8,0,Hamburg Port,Warsaw Crossdock,0
274.0,Rain,Road,76.8,0,Antwerp Freight,Berlin DC,0
1463.9,Fog,Air,65.3,0,Hamburg Port,Paris Nord,0
677.6,Rain,Rail,49.8,0,Hamburg Port,Prague Depot,1
1760.1,Fog,Air,67.7,0,Frankfurt Central,Berlin DC,1
503.9,Storm,Rail,77.4,0,Munich Hub,Prague Depot,0
2340.6,Fog,Air,82.8,0,Milan Cargo,Zurich Terminus,1
913.5,Clear,Road,76.0,0,Hamburg Port,Warsaw Crossdock,0
1710.9,Fog,Rail,57.8,0,Rotterdam Gate,Berlin DC,0
2900.0,Clear,Sea,85.2,0,Frankfurt Central,Vienna Logistics,0
684.9,Rain,Air,79.5,0,Milan Cargo,Vienna Logistics,0
228.7,Storm,Rail,53.1,0,Munich Hub,Zurich Terminus,1
131.2,Clear,Road,76.6,1,Milan Cargo,Prague Depot,0
1183.1,Clear,Road,65.8,0,Frankfurt Central,Paris Nord,0
277.7,Clear,Rail,69.1,0,Rotterdam Gate,Warsaw Crossdock,0
821.1,Rain,Road,73.1,0,Antwerp Freight,Warsaw Crossdock,1
199.0,Clear,Road,76.1,0,Antwerp Freight,Prague Depot,1
342.6,Rain,Road,61.4,0,Rotterdam Gate,Vienna Logistics,1
930.8,Fog,Rail,32.0,0,Antwerp Freight,Berlin DC,1
472.8,Fog,Rail,65.0,1,Munich Hub,Berlin DC,0
1161.1,Clear,Sea,55.2,0,Frankfurt Central,Berlin DC,1
1483.6,Clear,Rail,81.5,1,Frankfurt Central,Berlin DC,0
1074.1,Rain,Road,60.6,0,Antwerp Freight,Vienna Logistics,1
893.9,Rain,Road,67.2,0,Antwerp Freight,Warsaw Crossdock,0
1815.6,Clear,Sea,85.9,0,Milan Cargo,Berlin DC,0
665.5,Clear,Air,89.4,0,Milan Cargo,Warsaw Crossdock,0
120.1,Clear,Road,60.3,0,Antwerp Freight,Warsaw Crossdock,0
329.7,Clear,Road,67.6,0,Rotterdam Gate,Zurich Terminus,0
462.3,Storm,Road,87.1,0,Munich Hub,Berlin DC,1
764.2,Storm,Road,69.9,0,Antwerp Freight,Warsaw Crossdock,1
1275.4,Clear,Rail,63.9,0,Munich Hub,Paris Nord,0
649.3,Fog,Road,88.8,0,Milan Cargo,Paris Nord,0
1308.0,Clear,Rail,74.0,0,Milan Cargo,Paris Nord,0
702.3,Fog,Rail,87.6,0,Milan Cargo,Zurich Terminus,0
1733.3,Snow,Rail,80.3,0,Antwerp Freight,Vienna Logistics,0
1100.4,Storm,Air,81.1,1,Rotterdam Gate,Warsaw Crossdock,1
401.0,Storm,Road,58.0,0,Frankfurt Central,Zurich Terminus,1
804.8,Rain,Road,55.5,0,Antwerp Freight,Warsaw Crossdock,1
1938.8,Clear,Air,59.4,0,Rotterdam Gate,Paris Nord,0
1441.8,Rain,Rail,79.2,0,Hamburg Port,Prague Depot,1
734.1,Rain,Road,57.1,0,Rotterdam Gate,Zurich Terminus,0
1655.3,Clear,Air,56.8,0,Milan Cargo,Warsaw Crossdock,0
471.3,Rain,Road,87.5,0,Frankfurt Central,Paris Nord,0
349.2,Clear,Road,85.3,0,Antwerp Freight,Berlin DC,0
239.5,Clear,Rail,73.5,0,Munich Hub,Paris Nord,0
1906.3,Clear,Sea,90.9,0,Munich Hub,Berlin DC,0
848.4,Fog,Road,68.2,1,Rotterdam Gate,Warsaw Crossdock,1
516.2,Clear,Road,78.4,0,Rotterdam Gate,Warsaw Crossdock,0
564.7,Clear,Air,50.5,0,Hamburg Port,Paris Nord,0
1949.9,Clear,Sea,97.7,0,Antwerp Freight,Warsaw Crossdock,0
1362.8,Storm,Sea,71.2,0,Hamburg Port,Vienna Logistics,1
3184.1,Fog,Sea,80.7,1,Milan Cargo,Berlin DC,1
575.3,Clear,Rail,81.6,0,Rotterdam Gate,Zurich Terminus,0
872.2,Fog,Sea,58.9,0,Milan Cargo,Zurich Terminus,1
578.8,Clear,Road,91.9,1,Antwerp Freight,Warsaw Crossdock,0
1363.9,Storm,Rail,79.3,0,Frankfurt Central,Zurich Terminus,1
1798.0,Rain,Rail,78.1,0,Frankfurt Central,Berlin DC,0
1260.3,Clear,Rail,78.1,0,Milan Cargo,Berlin DC,0
1748.4,Snow,Rail,83.3,0,Frankfurt Central,Prague Depot,1
606.0,Fog,Road,63.3,0,Frankfurt Central,Prague Depot,0
812.1,Rain,Road,51.6,0,Hamburg Port,Prague Depot,1
513.9,Storm,Air,90.0,0,Hamburg Port,Paris Nord,1
1888.3,Rain,Air,87.7,0,Frankfurt Central,Zurich Terminus,0
415.6,Clear,Rail,87.3,0,Frankfurt Central,Berlin DC,0
1605.6,Snow,Rail,74.8,0,Rotterdam Gate,Prague Depot,1
468.4,Rain,Rail,74.1,0,Milan Cargo,Vienna Logistics,1
2316.2,Rain,Sea,90.3,0,Munich Hub,Vienna Logistics,0
1910.0,Rain,Sea,23.0,0,Munich Hub,Paris Nord,0
1749.9,Clear,Sea,65.8,0,Antwerp Freight,Prague Depot,1
1358.2,Clear,Air,49.1,1,Frankfurt Central,Berlin DC,1
485.7,Rain,Road,75.0,0,Antwerp Freight,Vienna Logistics,0
486.0,Rain,Rail,61.8,1,Frankfurt Central,Paris Nord,0
2493.4,Clear,Air,44.3,0,Munich Hub,Warsaw Crossdock,1
1490.5,Fog,Air,84.0,0,Antwerp Freight,Berlin DC,0
1159.2,Rain,Road,73.7,1,Rotterdam Gate,Prague Depot,1
1317.5,Storm,Rail,81.0,0,Frankfurt Central,Berlin DC,1
736.4,Clear,Road,91.3,0,Hamburg Port,Paris Nord,0
1121.3,Rain,Road,78.6,1,Hamburg Port,Vienna Logistics,0
2207.6,Snow,Air,62.5,0,Munich Hub,Prague Depot,1
789.7,Clear,Road,95.3,0,Munich Hub,Paris Nord,0
1123.2,Fog,Road,84.5,0,Antwerp Freight,Warsaw Crossdock,1
1110.6,Clear,Road,73.1,0,Milan Cargo,Zurich Terminus,1
1183.6,Rain,Road,83.9,0,Rotterdam Gate,Zurich Terminus,0
685.7,Storm,Road,65.5,0,Munich Hub,Prague Depot,1
316.0,Rain,Road,70.9,0,Rotterdam Gate,Zurich Terminus,0
864.8,Rain,Road,79.5,1,Hamburg Port,Vienna Logistics,0
1666.2,Storm,Air,81.3,0,Frankfurt Central,Berlin DC,1
361.1,Clear,Road,74.3,0,Milan Cargo,Warsaw Crossdock,1
704.4,Clear,Road,83.3,0,Antwerp Freight,Zurich Terminus,0
444.1,Snow,Road,75.9,0,Milan Cargo,Vienna Logistics,1
1581.1,Rain,Sea,81.5,0,Frankfurt Central,Vienna Logistics,0
920.5,Storm,Rail,82.6,0,Rotterdam Gate,Zurich Terminus,0
187.0,Clear,Road,54.7,1,Antwerp Freight,Berlin DC,0
909.1,Clear,Rail,68.7,0,Rotterdam Gate,Zurich Terminus,0
1142.3,Rain,Road,76.1,0,Milan Cargo,Zurich Terminus,0
1427.9,Rain,Air,53.4,0,Hamburg Port,Paris Nord,1
1735.8,Snow,Sea,96.3,0,Munich Hub,Warsaw Crossdock,1
374.5,Clear,Road,58.8,0,Antwerp Freight,Warsaw Crossdock,0
1367.1,Storm,Air,63.2,0,Hamburg Port,Warsaw Crossdock,1
381.5,Clear,Road,86.8,0,Milan Cargo,Berlin DC,0
966.4,Snow,Road,71.0,0,Hamburg Port,Paris Nord,1
1092.1,Clear,Sea,72.5,0,Antwerp Freight,Vienna Logistics,0
1129.9,Rain,Road,68.3,0,Hamburg Port,Vienna Logistics,1
389.2,Clear,Road,45.8,0,Antwerp Freight,Paris Nord,0
772.9,Clear,Road,81.7,0,Munich Hub,Vienna Logistics,0
2089.1,Snow,Air,89.5,0,Frankfurt Central,Zurich Terminus,1
1068.4,Storm,Rail,71.7,0,Munich Hub,Paris Nord,0
997.7,Rain,Road,61.2,0,Frankfurt Central,Berlin DC,0
887.5,Storm,Road,80.9,0,Milan Cargo,Zurich Terminus,1
306.7,Clear,Rail,70.5,0,Antwerp Freight,Zurich Terminus,0
758.7,Clear,Road,72.8,0,Antwerp Freight,Prague Depot,1
493.4,Snow,Road,85.6,1,Milan Cargo,Warsaw Crossdock,1
1050.7,Clear,Rail,76.5,0,Frankfurt Central,Prague Depot,1
825.1,Clear,Road,72.1,0,Antwerp Freight,Prague Depot,0
2765.6,Rain,Sea,81.8,0,Hamburg Port,Zurich Terminus,1
